"Player","Season","Team","Position","GP","TOI","G","A1","A2","Points","iSF","iFF","iCF","ixG","Sh%","FSh%","xFSh%","iBLK","GIVE","TAKE","iHF","iHA","iPENT2","iPEND2","iPENT5","iPEND5","iPEN±","FOW","FOL","FO±"
"Jake Christiansen","24-25","CBJ","D",6,92.37,0,2,2,4,9,13,18,0.24,0,0,1.85,4,4,0,3,9,0,0,0,0,0,0,0,0
"Jake McCabe","24-25","TOR","D",7,146.85,0,2,1,3,4,8,16,0.2,0,0,2.5,14,7,1,15,15,2,1,0,0,-1,0,0,0
"Jake Sanderson","24-25","OTT","D",6,152.78,1,2,4,7,13,23,33,0.68,7.69,4.35,2.96,20,14,7,6,18,1,0,0,0,-1,0,0,0
"Jake Walman","24-25","S.J","D",7,163.75,0,1,1,2,19,35,48,1.01,0,0,2.89,14,7,3,7,5,3,1,0,0,-2,0,0,0
"Jakob Chychrun","24-25","WSH","D",5,107.47,2,0,2,4,13,16,26,0.72,15.38,12.5,4.5,6,6,5,6,10,4,1,0,0,-3,0,0,0
"Jalen Chatfield","24-25","CAR","D",5,90.93,0,0,0,0,3,6,15,0.14,0,0,2.33,3,2,2,6,9,1,0,0,0,-1,0,0,0
"Jamie Drysdale","24-25","PHI","D",6,110.48,1,0,0,1,5,8,14,0.23,20,12.5,2.88,11,5,1,1,11,0,0,0,0,0,0,0,0
"Jamie Oleksiak","24-25","SEA","D",7,151.4,0,0,2,2,11,15,22,0.17,0,0,1.13,16,6,2,10,13,2,1,0,0,-1,0,0,0
"Jan Rutta","24-25","S.J","D",7,130.07,0,0,1,1,4,5,15,0.06,0,0,1.2,13,13,2,8,7,5,0,0,0,-5,0,0,0
"Janis Moser","24-25","T.B","D",6,126.8,2,1,3,6,7,14,20,0.47,28.57,14.29,3.36,10,8,4,5,3,1,0,0,0,-1,0,0,0
"Jared Spurgeon","24-25","MIN","D",2,39.15,0,0,1,1,2,3,6,0.07,0,0,2.33,6,0,1,4,7,0,0,0,0,0,0,0,0
"Jayden Struble","24-25","MTL","D",2,34.83,0,0,0,0,1,1,2,0.01,0,0,1,3,5,0,5,5,0,0,0,0,0,0,0,0
"Jeff Petry","24-25","DET","D",3,48.17,0,0,0,0,1,2,4,0.03,0,0,1.5,3,4,1,5,5,0,0,0,0,0,0,0,0
"Jeremy Lauzon","24-25","NSH","D",6,107.82,0,0,0,0,7,12,18,0.24,0,0,2,4,3,1,32,4,3,2,0,0,-1,0,0,0
"Joel Edmundson","24-25","L.A","D",5,100.05,0,1,1,2,9,12,20,0.27,0,0,2.25,10,2,1,9,1,2,2,0,0,0,0,0,0
"John Carlson","24-25","WSH","D",5,131.67,2,3,1,6,13,15,31,0.41,15.38,13.33,2.73,7,4,6,8,7,0,1,0,0,1,0,0,0
"John Ludvig","24-25","COL","D",3,42.12,0,0,1,1,2,3,6,0.19,0,0,6.33,2,2,1,5,2,0,0,0,0,0,0,0,0
